pkmn,ability,item,team,moves
Ceruledge,FlashFire,LifeOrb,Torkoal WalkingWake RoaringMoon Corviknight GreatTusk ,BitterBlade ShadowSneak SolarBlade SwordsDance 
Clodsire,Unaware,BlackSludge,Dondozo IronBoulder Corviknight Garganacl Meowscarada ,Earthquake Spikes Toxic Recover 
Dondozo,Unaware,Leftovers,Clodsire IronBoulder Corviknight Garganacl Meowscarada ,WaveCrash Earthquake Rest Curse 
IronBoulder,QuarkDrive,ChoiceBand,Clodsire Dondozo Corviknight Garganacl Meowscarada ,MightyCleave PsychoCut Earthquake CloseCombat 
Corviknight,Pressure,RockyHelmet,Clodsire Dondozo IronBoulder Garganacl Meowscarada ,BodyPress Uturn Roost Defog 
Garganacl,PurifyingSalt,Leftovers,Clodsire Dondozo IronBoulder Corviknight Meowscarada ,SaltCure StealthRock Protect Recover 
Meowscarada,Protean,ChoiceBand,Clodsire Dondozo IronBoulder Corviknight Garganacl ,KnockOff FlowerTrick ThunderPunch Uturn 
Kyurem,Pressure,ChoiceSpecs,Volcanion Clefable Corviknight Weavile Dondozo ,IceBeam FreezeDry DracoMeteor EarthPower 
Volcanion,WaterAbsorb,HeavyDutyBoots,Kyurem Clefable Corviknight Weavile Dondozo ,SteamEruption FireSpin SludgeBomb Taunt 
Clefable,MagicGuard,Leftovers,Kyurem Volcanion Corviknight Weavile Dondozo ,Moonblast KnockOff StealthRock Moonlight 
Corviknight,Pressure,RockyHelmet,Kyurem Volcanion Clefable Weavile Dondozo ,BodyPress IronDefense Roost Defog 
Weavile,Pressure,HeavyDutyBoots,Kyurem Volcanion Clefable Corviknight Dondozo ,KnockOff TripleAxel IceShard SwordsDance 
Dondozo,Unaware,Leftovers,Kyurem Volcanion Clefable Corviknight Weavile ,Liquidation Curse Rest SleepTalk 
Keldeo,Justified,ChoiceSpecs,Azumarill Amoonguss Hatterene TornadusTherian Excadrill ,Surf SecretSword HydroPump VacuumWave 
Azumarill,HugePower,ChoiceBand,Keldeo Amoonguss Hatterene TornadusTherian Excadrill ,Liquidation PlayRough AquaJet KnockOff 
Amoonguss,Regenerator,RockyHelmet,Keldeo Azumarill Hatterene TornadusTherian Excadrill ,GrassKnot SludgeBomb ClearSmog Spore 
Hatterene,MagicBounce,Leftovers,Keldeo Azumarill Amoonguss TornadusTherian Excadrill ,CalmMind DrainingKiss Psyshock Nuzzle 
TornadusTherian,Regenerator,AssaultVest,Keldeo Azumarill Amoonguss Hatterene Excadrill ,BleakwindStorm HeatWave KnockOff Uturn 
Excadrill,MoldBreaker,ChoiceScarf,Keldeo Azumarill Amoonguss Hatterene TornadusTherian ,Earthquake IronHead RapidSpin StealthRock 
Torkoal,Drought,HeatRock,WalkingWake GougingFire Sylveon Sandaconda IronValiant ,LavaPlume RapidSpin StealthRock Yawn 
WalkingWake,Protosynthesis,ChoiceSpecs,Torkoal GougingFire Sylveon Sandaconda IronValiant ,HydroSteam DracoMeteor FlipTurn Flamethrower 
GougingFire,Protosynthesis,ChoiceBand,Torkoal WalkingWake Sylveon Sandaconda IronValiant ,RagingFury HeatCrash Outrage Earthquake 
Sylveon,Pixilate,Leftovers,Torkoal WalkingWake GougingFire Sandaconda IronValiant ,Wish Protect CalmMind HyperVoice 
Sandaconda,ShedSkin,RockyHelmet,Torkoal WalkingWake GougingFire Sylveon IronValiant ,IronDefense BodyPress Glare Rest 
IronValiant,QuarkDrive,BoosterEnergy,Torkoal WalkingWake GougingFire Sylveon Sandaconda ,Moonblast CloseCombat Psyshock CalmMind 
Torkoal,Drought,HeatRock,WalkingWake Kingambit RoaringMoon LandorusTherian GougingFire ,Flamethrower StealthRock RapidSpin Yawn 
WalkingWake,Protosynthesis,ChoiceSpecs,Torkoal Kingambit RoaringMoon LandorusTherian GougingFire ,HydroSteam DracoMeteor Flamethrower DragonPulse 
Kingambit,SupremeOverlord,Leftovers,Torkoal WalkingWake RoaringMoon LandorusTherian GougingFire ,SwordsDance SuckerPunch TeraBlast KowtowCleave 
RoaringMoon,Protosynthesis,ChoiceBand,Torkoal WalkingWake Kingambit LandorusTherian GougingFire ,KnockOff Uturn Earthquake IronHead 
LandorusTherian,Intimidate,Leftovers,Torkoal WalkingWake Kingambit RoaringMoon GougingFire ,WeatherBall GrassKnot Uturn EarthPower 
GougingFire,Protosynthesis,ChoiceBand,Torkoal WalkingWake Kingambit RoaringMoon LandorusTherian ,RagingFury Outrage MorningSun SleepTalk 
RagingBolt,Protosynthesis,BoosterEnergy,Hatterene Cresselia Kingambit Ursaluna Torkoal ,CalmMind Thunderclap DracoMeteor Thunderbolt 
Hatterene,MagicBounce,Leftovers,RagingBolt Cresselia Kingambit Ursaluna Torkoal ,Psychic MysticalFire TrickRoom HealingWish 
Cresselia,Levitate,RockyHelmet,RagingBolt Hatterene Kingambit Ursaluna Torkoal ,Moonlight LunarDance TrickRoom IceBeam 
Kingambit,SupremeOverlord,LumBerry,RagingBolt Hatterene Cresselia Ursaluna Torkoal ,KowtowCleave LowKick IronHead SwordsDance 
Ursaluna,Guts,FlameOrb,RagingBolt Hatterene Cresselia Kingambit Torkoal ,Facade Earthquake FirePunch SwordsDance 
Torkoal,Drought,ChoiceSpecs,RagingBolt Hatterene Cresselia Kingambit Ursaluna ,Eruption Flamethrower EarthPower SolarBeam 
Gliscor,PoisonHeal,ToxicOrb,Clefable SlowkingGalar Primarina RagingBolt Kingambit ,Earthquake Spikes Protect Toxic 
Clefable,MagicGuard,Leftovers,Gliscor SlowkingGalar Primarina RagingBolt Kingambit ,Moonblast Moonlight StealthRock KnockOff 
SlowkingGalar,Regenerator,HeavyDutyBoots,Gliscor Clefable Primarina RagingBolt Kingambit ,SludgeBomb FutureSight ChillyReception ThunderWave 
Primarina,Torrent,HeavyDutyBoots,Gliscor Clefable SlowkingGalar RagingBolt Kingambit ,CalmMind Rest SleepTalk Moonblast 
RagingBolt,Protosynthesis,HeavyDutyBoots,Gliscor Clefable SlowkingGalar Primarina Kingambit ,CalmMind Thunderclap DragonPulse Thunderbolt 
Kingambit,SupremeOverlord,HeavyDutyBoots,Gliscor Clefable SlowkingGalar Primarina RagingBolt ,SwordsDance KowtowCleave SuckerPunch IronHead 
Gliscor,PoisonHeal,ToxicOrb,Clefable SlowkingGalar OgerponWellspring RagingBolt Kingambit ,Earthquake Spikes Protect Toxic 
Clefable,MagicGuard,Leftovers,Gliscor SlowkingGalar OgerponWellspring RagingBolt Kingambit ,Moonblast Moonlight StealthRock KnockOff 
SlowkingGalar,Regenerator,HeavyDutyBoots,Gliscor Clefable OgerponWellspring RagingBolt Kingambit ,SludgeBomb FutureSight ChillyReception ThunderWave 
OgerponWellspring,WaterAbsorb,WellspringMask,Gliscor Clefable SlowkingGalar RagingBolt Kingambit ,IvyCudgel HornLeech Taunt Uturn 
RagingBolt,Protosynthesis,ChoiceSpecs,Gliscor Clefable SlowkingGalar OgerponWellspring Kingambit ,VoltSwitch Thunderclap DracoMeteor TeraBlast 
Kingambit,SupremeOverlord,Leftovers,Gliscor Clefable SlowkingGalar OgerponWellspring RagingBolt ,SwordsDance KowtowCleave SuckerPunch IronHead 
Azumarill,HugePower,SitrusBerry,Archaludon Pelipper Kingambit Maushold Amoonguss ,PlayRough BellyDrum AquaJet KnockOff 
Archaludon,Stamina,AssaultVest,Azumarill Pelipper Kingambit Maushold Amoonguss ,BodyPress ElectroShot FlashCannon DracoMeteor 
Pelipper,Drizzle,ChoiceSpecs,Azumarill Archaludon Kingambit Maushold Amoonguss ,WeatherBall Hurricane Uturn KnockOff 
Kingambit,SupremeOverlord,Leftovers,Azumarill Archaludon Pelipper Maushold Amoonguss ,KowtowCleave SwordsDance LowKick SuckerPunch 
Maushold,Technician,WideLens,Azumarill Archaludon Pelipper Kingambit Amoonguss ,TidyUp PopulationBomb Bite Encore 
Amoonguss,Regenerator,RedCard,Azumarill Archaludon Pelipper Kingambit Maushold ,Spore FoulPlay GrassKnot SludgeBomb 
Zamazenta,DauntlessShield,HeavyDutyBoots,Weavile Gliscor SlowkingGalar Dragapult Clefable ,CloseCombat Crunch StoneEdge Roar 
Weavile,Pressure,HeavyDutyBoots,Zamazenta Gliscor SlowkingGalar Dragapult Clefable ,KnockOff TripleAxel IceShard SwordsDance 
Gliscor,PoisonHeal,ToxicOrb,Zamazenta Weavile SlowkingGalar Dragapult Clefable ,Earthquake Toxic Spikes Protect 
SlowkingGalar,Regenerator,HeavyDutyBoots,Zamazenta Weavile Gliscor Dragapult Clefable ,SludgeBomb FutureSight ThunderWave ChillyReception 
Dragapult,Infiltrator,HeavyDutyBoots,Zamazenta Weavile Gliscor SlowkingGalar Clefable ,Hex DragonDarts Uturn WillOWisp 
Clefable,MagicGuard,Leftovers,Zamazenta Weavile Gliscor SlowkingGalar Dragapult ,Moonblast ThunderWave/KnockOff/Flamethrower/CalmMind StealthRock Moonlight 
DeoxysSpeed,Pressure,LifeOrb,Indeedee Volcarona IronCrown LandorusTherian Primarina ,ExpandingForce IceBeam FocusBlast NastyPlot 
Indeedee,PsychicSurge,TerrainExtender,DeoxysSpeed Volcarona IronCrown LandorusTherian Primarina ,ExpandingForce DazzlingGleam Encore HealingWish 
Volcarona,FlameBody,HeavyDutyBoots,DeoxysSpeed Indeedee IronCrown LandorusTherian Primarina ,FieryDance BugBuzz TeraBlast QuiverDance 
IronCrown,QuarkDrive,BoosterEnergy,DeoxysSpeed Indeedee Volcarona LandorusTherian Primarina ,CalmMind TachyonCutter ExpandingForce FocusBlast 
LandorusTherian,Intimidate,RockyHelmet,DeoxysSpeed Indeedee Volcarona IronCrown Primarina ,Uturn Earthquake RockSlide StealthRock 
Primarina,Torrent,AssaultVest,DeoxysSpeed Indeedee Volcarona IronCrown LandorusTherian ,Moonblast SparklingAria Psychic FlipTurn 
GreatTusk,Protosynthesis,SitrusBerry,SamurottHisui IronCrown Gholdengo RoaringMoon Enamorus ,HeadlongRush IceSpinner RapidSpin StealthRock 
SamurottHisui,Sharpness,ChoiceBand,GreatTusk IronCrown Gholdengo RoaringMoon Enamorus ,CeaselessEdge AquaCutter SacredSword SuckerPunch 
IronCrown,QuarkDrive,ChoiceScarf,GreatTusk SamurottHisui Gholdengo RoaringMoon Enamorus ,FutureSight FocusBlast VoltSwitch TachyonCutter 
Gholdengo,GoodasGold,AirBalloon,GreatTusk SamurottHisui IronCrown RoaringMoon Enamorus ,MakeItRain Hex Recover ThunderWave 
RoaringMoon,Protosynthesis,BoosterEnergy,GreatTusk SamurottHisui IronCrown Gholdengo Enamorus ,Acrobatics KnockOff Earthquake DragonDance 
Enamorus,Contrary,ChoiceScarf,GreatTusk SamurottHisui IronCrown Gholdengo RoaringMoon ,TeraBlast EarthPower Moonblast HealingWish 
Empoleon,Competitive,HeavyDutyBoots,SlowkingGalar Skeledirge Skarmory Darkrai Gliscor ,Surf Roost KnockOff FlipTurn 
SlowkingGalar,Regenerator,HeavyDutyBoots,Empoleon Skeledirge Skarmory Darkrai Gliscor ,FutureSight SludgeBomb Yawn ChillyReception 
Skeledirge,Unaware,HeavyDutyBoots,Empoleon SlowkingGalar Skarmory Darkrai Gliscor ,TorchSong Hex WillOWisp SlackOff 
Skarmory,Sturdy,RockyHelmet,Empoleon SlowkingGalar Skeledirge Darkrai Gliscor ,BodyPress IronDefense Roost Spikes 
Darkrai,BadDreams,HeavyDutyBoots,Empoleon SlowkingGalar Skeledirge Skarmory Gliscor ,DarkPulse IceBeam SludgeBomb KnockOff 
Gliscor,PoisonHeal,ToxicOrb,Empoleon SlowkingGalar Skeledirge Skarmory Darkrai ,Earthquake StealthRock Protect Toxic 
SlowkingGalar,Regenerator,HeavyDutyBoots,Volcanion Skarmory TingLu Clefable Dragapult ,FutureSight ChillyReception SludgeBomb Yawn 
Volcanion,WaterAbsorb,HeavyDutyBoots,SlowkingGalar Skarmory TingLu Clefable Dragapult ,SteamEruption EarthPower FireSpin Taunt 
Skarmory,Sturdy,RockyHelmet,SlowkingGalar Volcanion TingLu Clefable Dragapult ,BodyPress IronDefense Roost Spikes 
TingLu,VesselofRuin,Leftovers,SlowkingGalar Volcanion Skarmory Clefable Dragapult ,StealthRock Earthquake Whirlwind Ruination 
Clefable,MagicGuard,Leftovers,SlowkingGalar Volcanion Skarmory TingLu Dragapult ,Moonblast KnockOff CalmMind Moonlight 
Dragapult,Infiltrator,HeavyDutyBoots,SlowkingGalar Volcanion Skarmory TingLu Clefable ,Uturn WillOWisp Hex DragonDarts 
Ampharos,Static,ChoiceSpecs,Archaludon Pelipper Barraskewda IronTreads Dragonite ,Thunder DazzlingGleam VoltSwitch FocusBlast 
Archaludon,Stamina,AssaultVest,Ampharos Pelipper Barraskewda IronTreads Dragonite ,BodyPress DragonTail ElectroShot FlashCannon 
Pelipper,Drizzle,DampRock,Ampharos Archaludon Barraskewda IronTreads Dragonite ,ChillingWater Uturn KnockOff Hurricane 
Barraskewda,SwiftSwim,ChoiceBand,Ampharos Archaludon Pelipper IronTreads Dragonite ,Liquidation FlipTurn CloseCombat Crunch 
IronTreads,QuarkDrive,Leftovers,Ampharos Archaludon Pelipper Barraskewda Dragonite ,IceSpinner Earthquake StealthRock RapidSpin 
Dragonite,Multiscale,ExpertBelt,Ampharos Archaludon Pelipper Barraskewda IronTreads ,Earthquake Hurricane Thunder ExtremeSpeed 
Latias,Levitate,Leftovers,Archaludon Gliscor GougingFire Garganacl Primarina ,CalmMind Agility StoredPower DrainingKiss 
Archaludon,Stamina,Leftovers,Latias Gliscor GougingFire Garganacl Primarina ,StealthRock IronDefense BodyPress DragonTail 
Gliscor,PoisonHeal,ToxicOrb,Latias Archaludon GougingFire Garganacl Primarina ,Earthquake Spikes Protect Toxic 
GougingFire,Protosynthesis,HeavyDutyBoots,Latias Archaludon Gliscor Garganacl Primarina ,DragonDance TemperFlare DragonRush MorningSun 
Garganacl,PurifyingSalt,Leftovers,Latias Archaludon Gliscor GougingFire Primarina ,Curse SaltCure Recover Earthquake 
Primarina,Torrent,AssaultVest,Latias Archaludon Gliscor GougingFire Garganacl ,Moonblast Surf PsychicNoise FlipTurn 
Dragonite,Multiscale,HeavyDutyBoots,Toxapex Volcarona LandorusTherian TingLu RagingBolt ,DragonDance ExtremeSpeed Earthquake FirePunch 
Toxapex,Regenerator,Leftovers,Dragonite Volcarona LandorusTherian TingLu RagingBolt ,Surf Recover Toxic Haze 
Volcarona,FlameBody,HeavyDutyBoots,Dragonite Toxapex LandorusTherian TingLu RagingBolt ,QuiverDance FieryDance GigaDrain BugBuzz 
LandorusTherian,Intimidate,ChoiceScarf,Dragonite Toxapex Volcarona TingLu RagingBolt ,Earthquake Uturn StoneEdge GrassKnot 
TingLu,VesselofRuin,Leftovers,Dragonite Toxapex Volcarona LandorusTherian RagingBolt ,Earthquake StealthRock Spikes Whirlwind 
RagingBolt,Protosynthesis,ChoiceSpecs,Dragonite Toxapex Volcarona LandorusTherian TingLu ,VoltSwitch Thunderclap DracoMeteor TeraBlast 
Kingambit,SupremeOverlord,HeavyDutyBoots,Kyurem SlowkingGalar Skarmory Gliscor Meowscarada ,SwordsDance KowtowCleave SuckerPunch IronHead 
Kyurem,Pressure,ChoiceSpecs,Kingambit SlowkingGalar Skarmory Gliscor Meowscarada ,IceBeam FreezeDry DracoMeteor EarthPower 
SlowkingGalar,Regenerator,HeavyDutyBoots,Kingambit Kyurem Skarmory Gliscor Meowscarada ,FutureSight SludgeBomb ChillyReception Yawn 
Skarmory,Sturdy,RockyHelmet,Kingambit Kyurem SlowkingGalar Gliscor Meowscarada ,BodyPress IronDefense Roost Spikes 
Gliscor,PoisonHeal,ToxicOrb,Kingambit Kyurem SlowkingGalar Skarmory Meowscarada ,Earthquake KnockOff Uturn Toxic 
Meowscarada,Protean,HeavyDutyBoots,Kingambit Kyurem SlowkingGalar Skarmory Gliscor ,KnockOff TripleAxel Uturn FlowerTrick 
Corviknight,Pressure,Leftovers,Cinderace Kyurem SlowkingGalar Zamazenta LandorusTherian ,BraveBird Defog Uturn Roost 
Cinderace,Libero,HeavyDutyBoots,Corviknight Kyurem SlowkingGalar Zamazenta LandorusTherian ,PyroBall Uturn SuckerPunch CourtChange 
Kyurem,Pressure,ChoiceSpecs,Corviknight Cinderace SlowkingGalar Zamazenta LandorusTherian ,IceBeam FreezeDry DracoMeteor EarthPower 
SlowkingGalar,Regenerator,HeavyDutyBoots,Corviknight Cinderace Kyurem Zamazenta LandorusTherian ,FutureSight ChillyReception SludgeBomb Yawn 
Zamazenta,DauntlessShield,HeavyDutyBoots,Corviknight Cinderace Kyurem SlowkingGalar LandorusTherian ,CloseCombat HeavySlam Crunch StoneEdge 
LandorusTherian,Intimidate,Leftovers,Corviknight Cinderace Kyurem SlowkingGalar Zamazenta ,StealthRock Earthquake Uturn Taunt 
SlowkingGalar,Regenerator,HeavyDutyBoots,RotomWash Kyurem Meowscarada Gliscor Skarmory ,FutureSight SludgeBomb ChillyReception Yawn 
RotomWash,Levitate,Leftovers,SlowkingGalar Kyurem Meowscarada Gliscor Skarmory ,HydroPump VoltSwitch WillOWisp PainSplit 
Kyurem,Pressure,HeavyDutyBoots,SlowkingGalar RotomWash Meowscarada Gliscor Skarmory ,IceBeam FreezeDry EarthPower StoneEdge 
Meowscarada,Overgrow,HeavyDutyBoots,SlowkingGalar RotomWash Kyurem Gliscor Skarmory ,FlowerTrick KnockOff TripleAxel Uturn 
Gliscor,PoisonHeal,ToxicOrb,SlowkingGalar RotomWash Kyurem Meowscarada Skarmory ,KnockOff StealthRock Toxic Protect 
Skarmory,Sturdy,RockyHelmet,SlowkingGalar RotomWash Kyurem Meowscarada Gliscor ,BodyPress IronDefense Roost Spikes 
Meowscarada,Protean,HeavyDutyBoots,Gliscor Clefable SlowkingGalar Clodsire Dondozo ,KnockOff FlowerTrick TripleAxel LowKick 
Gliscor,PoisonHeal,ToxicOrb,Meowscarada Clefable SlowkingGalar Clodsire Dondozo ,Protect Toxic Spikes Earthquake 
Clefable,MagicGuard,Leftovers,Meowscarada Gliscor SlowkingGalar Clodsire Dondozo ,StealthRock Moonblast Wish Protect 
SlowkingGalar,Regenerator,HeavyDutyBoots,Meowscarada Gliscor Clefable Clodsire Dondozo ,FutureSight ChillyReception SlackOff SludgeBomb 
Clodsire,Unaware,HeavyDutyBoots,Meowscarada Gliscor Clefable SlowkingGalar Dondozo ,Toxic Amnesia Recover Earthquake 
Dondozo,Unaware,HeavyDutyBoots,Meowscarada Gliscor Clefable SlowkingGalar Clodsire ,Liquidation BodyPress SleepTalk Rest 
IronCrown,QuarkDrive,TerrainExtender,IronHands IronMoth Dragonite Hatterene SamurottHisui ,ElectricTerrain TachyonCutter FutureSight VoltSwitch 
IronHands,QuarkDrive,ElectricSeed,IronCrown IronMoth Dragonite Hatterene SamurottHisui ,SwordsDance DrainPunch SupercellSlam IcePunch 
IronMoth,QuarkDrive,PowerHerb,IronCrown IronHands Dragonite Hatterene SamurottHisui ,MeteorBeam FieryDance SludgeWave DazzlingGleam 
Dragonite,Multiscale,ChoiceBand,IronCrown IronHands IronMoth Hatterene SamurottHisui ,ExtremeSpeed ScaleShot IcePunch Earthquake 
Hatterene,MagicBounce,Leftovers,IronCrown IronHands IronMoth Dragonite SamurottHisui ,PainSplit DrainingKiss Nuzzle HealingWish 
SamurottHisui,Sharpness,AssaultVest,IronCrown IronHands IronMoth Dragonite Hatterene ,CeaselessEdge RazorShell SacredSword AquaJet 
Kyurem,Pressure,ChoiceSpecs,Skarmory RoaringMoon IronBoulder SlowkingGalar GreatTusk ,IceBeam FreezeDry DracoMeteor EarthPower 
Skarmory,Sturdy,RockyHelmet,Kyurem RoaringMoon IronBoulder SlowkingGalar GreatTusk ,Roost StealthRock BodyPress Whirlwind 
RoaringMoon,Protosynthesis,BoosterEnergy,Kyurem Skarmory IronBoulder SlowkingGalar GreatTusk ,Crunch DragonDance Earthquake Acrobatics 
IronBoulder,QuarkDrive,BoosterEnergy,Kyurem Skarmory RoaringMoon SlowkingGalar GreatTusk ,MightyCleave Earthquake Substitute SwordsDance 
SlowkingGalar,Regenerator,Leftovers,Kyurem Skarmory RoaringMoon IronBoulder GreatTusk ,ChillyReception FutureSight ThunderWave SludgeBomb 
GreatTusk,Protosynthesis,EjectPack,Kyurem Skarmory RoaringMoon IronBoulder SlowkingGalar ,CloseCombat HeadlongRush IceSpinner RapidSpin 
Archaludon,Stamina,Leftovers,Gliscor GougingFire Garganacl Pecharunt Primarina ,StealthRock IronDefense BodyPress DragonTail 
Gliscor,PoisonHeal,ToxicOrb,Archaludon GougingFire Garganacl Pecharunt Primarina ,Spikes Toxic Earthquake Protect 
GougingFire,Protosynthesis,HeavyDutyBoots,Archaludon Gliscor Garganacl Pecharunt Primarina ,DragonDance TemperFlare DragonRush MorningSun 
Garganacl,PurifyingSalt,Leftovers,Archaludon Gliscor GougingFire Pecharunt Primarina ,Curse SaltCure Recover Earthquake 
Pecharunt,PoisonPuppeteer,Leftovers,Archaludon Gliscor GougingFire Garganacl Primarina ,MalignantChain Hex PartingShot Recover 
Primarina,Torrent,AssaultVest,Archaludon Gliscor GougingFire Garganacl Pecharunt ,Moonblast Surf PsychicNoise FlipTurn 
Zamazenta,DauntlessShield,Leftovers,Weavile Volcanion TingLu Corviknight Clefable ,BodyPress Crunch IronDefense Roar 
Weavile,Pressure,HeavyDutyBoots,Zamazenta Volcanion TingLu Corviknight Clefable ,TripleAxel KnockOff IceShard SwordsDance 
Volcanion,WaterAbsorb,HeavyDutyBoots,Zamazenta Weavile TingLu Corviknight Clefable ,SteamEruption EarthPower FireSpin Taunt 
TingLu,VesselofRuin,Leftovers,Zamazenta Weavile Volcanion Corviknight Clefable ,Earthquake StoneEdge Whirlwind Spikes 
Corviknight,Pressure,RockyHelmet,Zamazenta Weavile Volcanion TingLu Clefable ,BodyPress IronDefense Roost Defog 
Clefable,MagicGuard,Leftovers,Zamazenta Weavile Volcanion TingLu Corviknight ,Moonblast KnockOff StealthRock Moonlight 
Suicune,Pressure,Leftovers,Excadrill IronValiant SlowkingGalar Hippowdon Mandibuzz ,Substitute Protect Scald CalmMind 
Excadrill,SandRush,Leftovers,Suicune IronValiant SlowkingGalar Hippowdon Mandibuzz ,SwordsDance Earthquake IronHead RapidSpin 
IronValiant,QuarkDrive,ChoiceSpecs,Suicune Excadrill SlowkingGalar Hippowdon Mandibuzz ,Moonblast AuraSphere Psyshock Thunderbolt 
SlowkingGalar,Regenerator,AssaultVest,Suicune Excadrill IronValiant Hippowdon Mandibuzz ,Psyshock FutureSight SludgeBomb Flamethrower 
Hippowdon,SandStream,Leftovers,Suicune Excadrill IronValiant SlowkingGalar Mandibuzz ,Earthquake StealthRock RockSlide SlackOff 
Mandibuzz,Overcoat,HeavyDutyBoots,Suicune Excadrill IronValiant SlowkingGalar Hippowdon ,KnockOff Roost IronDefense FoulPlay 
SlowkingGalar,Regenerator,HeavyDutyBoots,Kyurem Skarmory Dragapult TingLu Quaquaval ,FutureSight ChillyReception SludgeBomb ToxicSpikes 
Kyurem,Pressure,Leftovers,SlowkingGalar Skarmory Dragapult TingLu Quaquaval ,FreezeDry EarthPower IceBeam Substitute 
Skarmory,Sturdy,RockyHelmet,SlowkingGalar Kyurem Dragapult TingLu Quaquaval ,BodyPress IronDefense Roost StealthRock 
Dragapult,Infiltrator,HeavyDutyBoots,SlowkingGalar Kyurem Skarmory TingLu Quaquaval ,ThunderWave Hex DragonDarts Uturn 
TingLu,VesselofRuin,Leftovers,SlowkingGalar Kyurem Skarmory Dragapult Quaquaval ,Spikes Earthquake Whirlwind Ruination 
Quaquaval,Moxie,HeavyDutyBoots,SlowkingGalar Kyurem Skarmory Dragapult TingLu ,AquaStep RapidSpin CloseCombat IceSpinner/KnockOff 
RagingBolt,Protosynthesis,ChoiceSpecs,Corviknight Clefable Dondozo Weavile IronValiant ,DracoMeteor Thunderclap Thunderbolt VoltSwitch 
Corviknight,Pressure,RockyHelmet,RagingBolt Clefable Dondozo Weavile IronValiant ,Roost BodyPress Uturn Defog 
Clefable,MagicGuard,Leftovers,RagingBolt Corviknight Dondozo Weavile IronValiant ,KnockOff Moonblast StealthRock Moonlight 
Dondozo,Unaware,Leftovers,RagingBolt Corviknight Clefable Weavile IronValiant ,Curse Liquidation Rest BodyPress 
Weavile,Pressure,HeavyDutyBoots,RagingBolt Corviknight Clefable Dondozo IronValiant ,SwordsDance IceShard TripleAxel KnockOff 
IronValiant,QuarkDrive,ChoiceScarf,RagingBolt Corviknight Clefable Dondozo Weavile ,Trick Moonblast CloseCombat KnockOff 
Hatterene,MagicBounce,Leftovers,Clodsire RoaringMoon Kyurem Skarmory Darkrai ,DrainingKiss Nuzzle Psyshock CalmMind 
Clodsire,WaterAbsorb,Leftovers,Hatterene RoaringMoon Kyurem Skarmory Darkrai ,PoisonJab Protect Earthquake Toxic 
RoaringMoon,Protosynthesis,BoosterEnergy,Hatterene Clodsire Kyurem Skarmory Darkrai ,KnockOff Earthquake Acrobatics DragonDance 
Kyurem,Pressure,Leftovers,Hatterene Clodsire RoaringMoon Skarmory Darkrai ,Substitute EarthPower IceBeam FreezeDry 
Skarmory,Sturdy,RockyHelmet,Hatterene Clodsire RoaringMoon Kyurem Darkrai ,Whirlwind IronDefense BodyPress Roost 
Darkrai,BadDreams,FocusSash,Hatterene Clodsire RoaringMoon Kyurem Skarmory ,Hypnosis NastyPlot DarkPulse TeraBlast 
Kingambit,SupremeOverlord,Leftovers,Kyurem Scizor RotomWash TingLu GreatTusk ,SwordsDance IronHead LowKick SuckerPunch 
Kyurem,Pressure,ChoiceSpecs,Kingambit Scizor RotomWash TingLu GreatTusk ,DracoMeteor IceBeam FreezeDry EarthPower 
Scizor,Technician,ChoiceBand,Kingambit Kyurem RotomWash TingLu GreatTusk ,BulletPunch CloseCombat KnockOff Uturn 
RotomWash,Levitate,Leftovers,Kingambit Kyurem Scizor TingLu GreatTusk ,VoltSwitch HydroPump WillOWisp PainSplit 
TingLu,VesselofRuin,Leftovers,Kingambit Kyurem Scizor RotomWash GreatTusk ,Spikes Ruination Earthquake Whirlwind 
GreatTusk,Protosynthesis,HeavyDutyBoots,Kingambit Kyurem Scizor RotomWash TingLu ,HeadlongRush IceSpinner KnockOff RapidSpin 
Dragapult,Infiltrator,HeavyDutyBoots,Hydrapple RoaringMoon DeoxysSpeed Skarmory SlowkingGalar ,DragonDarts Hex WillOWisp Uturn 
Hydrapple,Regenerator,HeavyDutyBoots,Dragapult RoaringMoon DeoxysSpeed Skarmory SlowkingGalar ,GigaDrain FickleBeam EarthPower NastyPlot 
RoaringMoon,Protosynthesis,HeavyDutyBoots,Dragapult Hydrapple DeoxysSpeed Skarmory SlowkingGalar ,KnockOff Earthquake Roost Uturn 
DeoxysSpeed,Pressure,HeavyDutyBoots,Dragapult Hydrapple RoaringMoon Skarmory SlowkingGalar ,PsychoBoost IceBeam KnockOff StealthRock 
Skarmory,Sturdy,RockyHelmet,Dragapult Hydrapple RoaringMoon DeoxysSpeed SlowkingGalar ,BodyPress Spikes Roost IronDefense 
SlowkingGalar,Regenerator,HeavyDutyBoots,Dragapult Hydrapple RoaringMoon DeoxysSpeed Skarmory ,SludgeBomb FutureSight Toxic ChillyReception 
Skarmory,Sturdy,RockyHelmet,TingLu Meowscarada Dragapult Skeledirge SlowkingGalar ,BodyPress Spikes Roost IronDefense 
TingLu,VesselofRuin,Leftovers,Skarmory Meowscarada Dragapult Skeledirge SlowkingGalar ,Earthquake Ruination StealthRock Whirlwind 
Meowscarada,Protean,HeavyDutyBoots,Skarmory TingLu Dragapult Skeledirge SlowkingGalar ,FlowerTrick KnockOff TripleAxel Uturn 
